date,unemp.adj,unemp.unadj,gasprice,gdp,oilprice,oilshutin
1/1/2000,4.1,4.8,1.356,12300.04855,27.26,0
2/1/2000,4.1,4.9,1.422,12358.55763,29.37,0
3/1/2000,4,4.5,1.594,12435.89402,29.84,0
4/1/2000,4.1,3.7,1.561,12584.18237,25.72,0
5/1/2000,4.1,4.1,1.552,12587.97326,28.79,0
6/1/2000,4.2,4.3,1.666,12622.74179,31.82,0
7/1/2000,4.2,4.3,1.642,12535.52256,29.7,0
8/1/2000,4.2,4.2,1.559,12657.4262,31.26,0
9/1/2000,4.3,3.9,1.635,12650.04962,33.88,0
10/1/2000,4.3,3.8,1.613,12698.38973,33.11,0.42
11/1/2000,4.3,4,1.608,12697.61651,34.42,0
12/1/2000,4.3,3.8,1.544,12648.72506,28.44,0
1/1/2001,4.3,4.2,1.525,12668.83914,29.59,0
2/1/2001,4.3,5,1.538,12633.2532,29.61,0
3/1/2001,4.4,5,1.503,12633.87198,27.25,0
4/1/2001,4.5,4.9,1.617,12691.82587,27.49,0
5/1/2001,4.6,4.2,1.812,12763.41279,28.63,0
6/1/2001,4.6,4.4,1.731,12682.04582,27.6,0.99
7/1/2001,4.8,4.8,1.565,12641.65233,26.43,0
8/1/2001,4.8,4.8,1.509,12777.5413,27.37,2.77
9/1/2001,5,4.8,1.609,12601.97521,26.2,0
10/1/2001,5.1,4.5,1.442,12689.46722,22.17,0
11/1/2001,5.3,4.8,1.324,12614.16421,19.64,1.09
12/1/2001,5.4,5.1,1.2,12811.16379,19.39,0
1/1/2002,5.5,4.9,1.209,12858.45385,19.72,0
2/1/2002,5.6,4.8,1.21,12773.12685,20.72,0
3/1/2002,5.6,6.2,1.324,12841.39555,24.53,0
4/1/2002,5.6,6.2,1.493,12877.52656,26.18,0
5/1/2002,5.6,6.1,1.508,12879.49783,27.04,0
6/1/2002,5.6,5.4,1.489,12926.27282,25.52,0
7/1/2002,5.6,5.5,1.496,12987.46277,26.97,0
8/1/2002,5.5,5.8,1.508,12926.89761,28.39,0
9/1/2002,5.6,5.7,1.507,12954.79553,29.66,5.01
10/1/2002,5.6,5.4,1.535,12913.18297,28.84,9.9
11/1/2002,5.7,5,1.534,12954.83196,26.35,0
12/1/2002,5.7,5.1,1.477,13019.55746,29.46,0
1/1/2003,5.8,5.5,1.557,12993.33369,32.95,0
2/1/2003,5.8,5.4,1.686,13076.95218,35.83,0
3/1/2003,5.8,5.6,1.791,13014.57462,33.51,0
4/1/2003,5.8,6.5,1.704,13120.41335,28.17,0
5/1/2003,5.8,6.4,1.587,13098.78425,28.11,0
6/1/2003,5.7,6.1,1.558,13235.38048,30.66,0
7/1/2003,5.8,5.4,1.567,13308.30885,30.76,1.27
8/1/2003,5.7,5.6,1.671,13361.16301,31.57,0.01
9/1/2003,5.7,6.1,1.771,13451.73637,28.31,0.39
10/1/2003,5.6,5.9,1.646,13479.50195,30.34,0.16
11/1/2003,5.5,5.5,1.578,13536.66188,31.11,0
12/1/2003,5.5,5.3,1.538,13560.07805,32.13,0
1/1/2004,5.5,5.2,1.635,13503.43776,34.31,0
2/1/2004,5.5,5.3,1.715,13624.55549,34.69,0
3/1/2004,5.5,5,1.809,13690.87865,36.74,0
